Fashion Mantra Jewellery	fashionmantrajewellary	+91 8985480894	Unknown	India	Handmade / fashion earrings	WhatsApp + DM	No	—	7	Directory and posts map WhatsApp booking lines.	handmade earrings, sale	WA automation	Large follower counts possible; treat as mid-tier SMB.
Jewellery Inboxe	jewelleryinboxe	Unknown	Jaipur	Rajasthan	Rajasthani hathphool reels	DM implied	No	—	6	Hathphool reel content; contact not in snippet.	hathphool, rajputi	UGC, DM support	
Krishna House of Silver	krishna.house.of.silver	+91 8499011111	Hyderabad	Telangana	925 silver articles / gifting	WhatsApp (wa.link) + DM	No	—	5	Indexed copy shows wa.link plus call number for silver artefacts.	wa.link, temple silver	Enterprise ops note	Part of multi-vertical Krishna group; pitch digital ops carefully.
Malik Jewellers Ludhiana	malik_jewellers_ldh	+91 9252300003	Ludhiana	Punjab	Gold / seasonal reels	WhatsApp-only order line	No	—	8	Explicit order-only WhatsApp wording in reel title.	Ludhiana gold	WA-first checkout	
Lakshmi Jewells (Sree wholesale)	lakshmijewells	+91 9390483697	Telangana	India	Black beads / rose-gold wholesale	WhatsApp	No	—	8	Reel mandates opening video + WhatsApp enquiries; no COD.	wholesale, chandraharam	B2B portal	
Rajputi Jewellery Bhilwara	rajputijewellerybhilwara00	+91 9829900459	Bhilwara	Rajasthan	Rajputi gold-look sets	WhatsApp; online pay only	No	—	8	Post shows WhatsApp line for full set orders.	rajputi, gold-plated	Payments UX, WA	
Gewels by Mona	gewelsbymona	+91 9821351779	Unknown	India	Gold redesign / polki revamp	Call or DM	No	—	7	Custom redesign studio posts list phone + DM.	revamp, polki	Consultation booking	
Just Kundan	just_kundan	Unknown	Unknown	India	Kundan / polki sets	DM verify	No	—	6	SERP surfaced kundan-focused handle; validate WhatsApp.	kundan, polki	Catalog microsite	Low snippet confidence; confirm contact.
Belleza Jewels Official	bellezajewelsofficiall	Unknown	Unknown	India	AD / moissanite bangles reels	DM enquire	No	—	6	Price-forward bangle reels; WhatsApp not in snippet.	moissanite, bangles	DM automation	Validate ordering channel on profile.
Sakshi Jewels	sakshijewels	Unknown	Unknown	India	Custom heartbeat / gold rings	DM bespoke	No	—	7	Custom ring storytelling with strong DM bespoke angle.	custom ring, gold	3D configurator	
Babubhai Jewellers Nikol	babubhai_jewellers_nikol	Unknown	Ahmedabad	Gujarat	Rose gold / diamond necklaces	DM + showroom	No	—	6	Indexed post directs to Nikol Ahmedabad store for collection.	Nikol gold, diamond	Local SEO, WA	Confirm WhatsApp availability.
