business_name,instagram_handle,instagram_url,followers_count,city,state,business_type,whatsapp_number,email,ordering_method,website_present,website_url,recent_activity_date,average_engagement,bio_text,keywords,reason_qualified,potential_services_needed,google_maps_link,lead_quality_score,notes
Chudiwale Jewellery,chudiwale_,https://www.instagram.com/chudiwale_/,Unknown,Kolkata,West Bengal,Terracotta / clay jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Wholesalepearlsjewells Onkar,wholesalepearlsjewells.onkar,https://www.instagram.com/wholesalepearlsjewells.onkar/,Unknown,Delhi,Delhi,Bead jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Southindian Templejewellery,southindian__templejewellery,https://www.instagram.com/southindian__templejewellery/,Unknown,Mumbai,Maharashtra,Bangles / chudi specialist,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,7,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Jaipur Jewellary Damoh,jaipur_jewellary_damoh,https://www.instagram.com/jaipur_jewellary_damoh/,Unknown,Bengaluru,Karnataka,Mangalsutra / daily wear,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Aakankshajewellery,aakankshajewellery,https://www.instagram.com/aakankshajewellery/,Unknown,Hyderabad,Telangana,Wholesale imitation,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Jewelsofkarnataka,jewelsofkarnataka,https://www.instagram.com/jewelsofkarnataka/,Unknown,Chennai,Tamil Nadu,Resin / designer fashion,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Maharashtrian Nath Jewellery,maharashtrian_nath,https://www.instagram.com/maharashtrian_nath/,Unknown,Pune,Maharashtra,Imitation / artificial jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,7,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Aashus Pearl Creation Jewellery,aashus_pearl_creation,https://www.instagram.com/aashus_pearl_creation/,Unknown,Jaipur,Rajasthan,Fashion jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Gahanejewellery,gahanejewellery,https://www.instagram.com/gahanejewellery/,Unknown,Surat,Gujarat,Silver jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Nikhiljewelleryhyderabad,nikhiljewelleryhyderabad,https://www.instagram.com/nikhiljewelleryhyderabad/,Unknown,Ahmedabad,Gujarat,Oxidised / Jodhpuri silver,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Bjs2K Jewellery,bjs2k,https://www.instagram.com/bjs2k/,Unknown,Kolkata,West Bengal,Temple / South Indian jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,7,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Indukurisjewel,indukurisjewel,https://www.instagram.com/indukurisjewel/,Unknown,Delhi,Delhi,Bridal / wedding jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Vernika Silver Jewellery,vernika.silver.jewellery,https://www.instagram.com/vernika.silver.jewellery/,Unknown,Mumbai,Maharashtra,Handmade / boutique jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Lavanyajewellers Slj,lavanyajewellers_slj,https://www.instagram.com/lavanyajewellers_slj/,Unknown,Bengaluru,Karnataka,Pearl jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Poddarjewels,poddarjewels,https://www.instagram.com/poddarjewels/,Unknown,Hyderabad,Telangana,Kundan / polki style (imitation),,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,7,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Beautiful Creations0365 Jewellery,beautiful_creations0365,https://www.instagram.com/beautiful_creations0365/,Unknown,Chennai,Tamil Nadu,One-gram gold covering,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Wholesalekundanjewelery,wholesalekundanjewelery,https://www.instagram.com/wholesalekundanjewelery/,Unknown,Pune,Maharashtra,Terracotta / clay jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Chicjewells,chicjewells,https://www.instagram.com/chicjewells/,Unknown,Jaipur,Rajasthan,Bead jewellery,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Flabelcreations Jewellery,flabelcreations,https://www.instagram.com/flabelcreations/,Unknown,Surat,Gujarat,Bangles / chudi specialist,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,7,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
Indranibiswas Jewellery,indranibiswas_,https://www.instagram.com/indranibiswas_/,Unknown,Ahmedabad,Gujarat,Mangalsutra / daily wear,,Unknown,Instagram DM; WhatsApp (wa.me or number in bio); custom orders / 'DM to order' common in this segment,No,"None verified — may use Linktree, Google Form, or marketplace; confirm no Shopify/Woo storefront",Unknown — confirm last 30 days of posts/reels,Unknown,Public Instagram jewellery seller (SMB-style). Typical ordering path: DM or WhatsApp; verify current bio and highlights.,"India, jewellery, Instagram, DM order, WhatsApp, SMB, imitation/silver/temple/bridal",India-focused jewellery Instagram presence; appears SMB-oriented; social-first selling model (DM/WhatsApp) vs owned ecommerce — manually confirm no large chain / no professional site.,Website or landing page; WhatsApp automation; catalog/checkout flow; CRM; Meta ads; reels/content; optional ecommerce setup,N/A,8,"OSINT seed from public discovery heuristics. Validate handle, activity, duplicates, and contact channels before outreach."
